,Riders All Time in All Classes,Victories,2nd places,3rd places,Pole positions from '74 to 2022,Race fastest lap to 2022,World Championships,Victories,Country
333,BAYLISS Troy,1.0,0.0,4.0,0.0,0.0,0.0,1,FR
334,RICCI Fausto,1.0,0.0,4.0,0.0,0.0,0.0,1,GB
335,VAN DONGEN Cees,1.0,0.0,4.0,0.0,0.0,0.0,1,IT
336,CELSO-SANTOS Adu,1.0,0.0,2.0,0.0,0.0,0.0,1,IT
337,DANIELL Harold,1.0,2.0,0.0,0.0,0.0,0.0,1,CH
338,ROBERTS Joe,1.0,1.0,3.0,1.0,0.0,0.0,1,BR
339,TAIRA Tadahiko,1.0,1.0,2.0,1.0,0.0,0.0,1,FI
340,LACONI Regis,1.0,1.0,1.0,0.0,0.0,0.0,1,IT
341,PIRRO Michele,1.0,1.0,1.0,0.0,0.0,0.0,1,GB
342,ARTIGAS Xavier,1.0,1.0,0.0,2.0,0.0,0.0,1,JP
343,KOBAYASHI Masaru,1.0,1.0,0.0,1.0,0.0,0.0,1,AU
344,MCCULLOUGH Ray,1.0,1.0,0.0,1.0,0.0,0.0,1,IT
345,ABRAHAM Karel,1.0,1.0,0.0,1.0,0.0,0.0,1,JP
346,NASH Godfrey,1.0,1.0,0.0,1.0,0.0,0.0,1,ES
347,HASEGAWA Horoshi,1.0,1.0,0.0,1.0,0.0,0.0,1,GB
348,EMMERICH Ingo,1.0,1.0,0.0,0.0,0.0,0.0,1,IT
349,KAFKA Gerd,1.0,1.0,0.0,0.0,0.0,0.0,1,JP
350,COPETA Angelo,1.0,1.0,0.0,0.0,0.0,0.0,1,FR
351,JEFFERIES Tony,1.0,1.0,0.0,0.0,0.0,0.0,1,IE
352,CARTER Alan,1.0,0.0,0.0,2.0,0.0,0.0,1,GB
353,BALLERINI Andrea,1.0,0.0,0.0,1.0,0.0,0.0,1,JP
354,STOELLINGER Edi,1.0,0.0,0.0,1.0,0.0,0.0,1,ES
355,SALA Guido,1.0,0.0,0.0,1.0,0.0,0.0,1,ES
356,MIYAZAKI Osamu,1.0,0.0,0.0,1.0,0.0,0.0,1,AR
357,REITMAIER Fritz,1.0,0.0,0.0,1.0,0.0,0.0,1,AU
358,ÖNCÜ Can,1.0,0.0,0.0,1.0,0.0,0.0,1,DE
359,MUDFORD Ken,1.0,0.0,0.0,1.0,0.0,0.0,1,ES
360,CZIHAK Edmund,1.0,0.0,0.0,1.0,0.0,0.0,1,IT
361,BARRINGTON Manliefe,1.0,0.0,0.0,0.0,0.0,0.0,1,IT
362,IRELAND Dennis,1.0,0.0,0.0,0.0,0.0,0.0,1,DE
363,ROSSI Louis,1.0,0.0,0.0,0.0,0.0,0.0,1,ES
364,LEONI Guido,1.0,0.0,0.0,0.0,0.0,0.0,1,JP
365,FELGENHEIER Roland,1.0,0.0,0.0,0.0,0.0,0.0,1,DE
366,AUREAL Jean,1.0,0.0,0.0,0.0,0.0,0.0,1,TH
367,CARPENTER Phil,1.0,0.0,0.0,0.0,0.0,0.0,1,DE
368,,,,,,,,1,JP
369,,,,,,,,1,CH
370,,,,,,,,1,US
371,,,,,,,,1,FR
372,,,,,,,,1,GB
373,,,,,,,,1,IT
374,,,,,,,,1,ES
375,,,,,,,,1,AT
376,,,,,,,,1,DE
377,,,,,,,,1,DE
378,,,,,,,,1,NL
379,,,,,,,,1,NZ
380,,,,,,,,1,BE
381,,,,,,,,1,GB
382,,,,,,,,1,NZ
383,,,,,,,,1,IT
384,,,,,,,,1,GB
385,,,,,,,,1,AU
386,,,,,,,,1,IT
387,,,,,,,,1,FR
388,,,,,,,,1,GB
389,,,,,,,,1,JP
390,,,,,,,,1,CH
391,,,,,,,,1,FR
392,,,,,,,,1,TR
393,,,,,,,,1,IE
