,Riders All Time in All Classes,Victories,2nd places,3rd places,Pole positions from '74 to 2022,Race fastest lap to 2022,World Championships,Victories,Country
76,PASINI Mattia,12.0,8.0,10.0,19.0,6.0,0.0,12,ES
77,ANDERSON Fergus,12.0,5.0,7.0,0.0,12.0,2.0,12,SM
78,SAKATA Kazuto,11.0,23.0,7.0,29.0,19.0,2.0,11,JP
79,KATAYAMA Takazumi,11.0,11.0,13.0,5.0,6.0,1.0,11,ES
80,MARTIN Jorge,11.0,10.0,12.0,27.0,8.0,1.0,11,JP
81,HAAS Werner,11.0,7.0,0.0,1.0,11.0,3.0,11,JP
82,MORBIDELLI Franco,11.0,6.0,10.0,8.0,14.0,1.0,11,IT
83,SIMMONDS Dave,11.0,6.0,5.0,0.0,7.0,1.0,11,GB
84,UI Youichi,11.0,6.0,5.0,17.0,9.0,0.0,11,DE
85,GOULD Rodney,10.0,16.0,8.0,0.0,8.0,1.0,10,FR
86,BRYANS Ralph,10.0,15.0,15.0,0.0,7.0,1.0,10,ES
87,HANSFORD Greg,10.0,14.0,1.0,11.0,5.0,0.0,10,ES
88,QUARTARARO Fabio,10.0,11.0,5.0,19.0,12.0,1.0,10,JP
89,BARBERA Hector,10.0,9.0,13.0,9.0,10.0,0.0,10,AU
90,AZUMA Masao,10.0,4.0,6.0,2.0,12.0,0.0,10,GB
91,FERNANDEZ Raul,10.0,3.0,3.0,13.0,8.0,0.0,10,IE
92,GIBERNAU Sete,9.0,14.0,7.0,13.0,8.0,0.0,9,ES
93,GIANOLA Ezio,9.0,13.0,8.0,12.0,10.0,0.0,9,GB
94,SALOM Luis,9.0,10.0,6.0,4.0,7.0,0.0,9,JP
95,AOYAMA Hiroshi,9.0,8.0,10.0,8.0,11.0,1.0,9,HU
96,TALMACSI Gabor,9.0,8.0,9.0,11.0,9.0,1.0,9,IT
97,LOCATELLI Roberto,9.0,7.0,9.0,18.0,10.0,1.0,9,ES
98,AOKI Haruchika,9.0,6.0,5.0,6.0,5.0,2.0,9,AU
99,LOWES Sam,9.0,5.0,10.0,17.0,9.0,0.0,9,IT
100,SPAAN Hans,9.0,5.0,7.0,9.0,5.0,0.0,9,JP
101,MILLER Jack,9.0,4.0,13.0,9.0,3.0,0.0,9,GB
102,LOMAS Bill,9.0,3.0,4.0,0.0,14.0,2.0,9,NL
103,REGGIANI Loris,8.0,14.0,19.0,5.0,8.0,0.0,8,IT
104,BASTIANINI Enea,8.0,11.0,17.0,9.0,8.0,1.0,8,FI
105,SIMON Julian,8.0,11.0,7.0,10.0,12.0,1.0,8,ES
106,LANSIVUORI Teuvo,8.0,10.0,9.0,12.0,12.0,0.0,8,IT
107,FAUBEL Hector,8.0,7.0,11.0,3.0,9.0,0.0,8,GB
108,MORTIMER Chas,7.0,17.0,15.0,3.0,5.0,0.0,8,GB
109,JACQUE Olivier,7.0,15.0,13.0,17.0,9.0,1.0,8,US
110,SARRON Christian,7.0,13.0,17.0,11.0,10.0,1.0,8,IT
111,BARROS Alex,7.0,11.0,14.0,5.0,14.0,0.0,8,ES
112,CORTESE Sandro,7.0,10.0,12.0,10.0,11.0,1.0,7,FR
113,ARMSTRONG Reg,7.0,9.0,13.0,0.0,2.0,0.0,7,IT
114,VAN KESSEL Henk,7.0,9.0,9.0,4.0,0.0,1.0,7,IT
115,CARRUTHERS Kel,7.0,9.0,6.0,0.0,8.0,1.0,7,IT
116,BRADL Stefan,7.0,8.0,4.0,8.0,5.0,1.0,7,BR
117,VINCENT Arnaud,7.0,8.0,4.0,4.0,1.0,1.0,7,NL
118,LORENZETTI Enrico,7.0,7.0,7.0,0.0,6.0,1.0,7,IT
119,PORTO Sebastian,7.0,7.0,5.0,11.0,8.0,0.0,7,AU
120,CECCHINELLO Lucio,7.0,7.0,5.0,4.0,10.0,0.0,7,GB
121,EKEROLD Jonnie,7.0,6.0,6.0,2.0,0.0,1.0,7,DE
122,UNCINI Franco,7.0,5.0,9.0,8.0,3.0,1.0,7,ZA
123,FOGGIA Dennis,7.0,5.0,6.0,0.0,3.0,0.0,7,FR
124,PASOLINI Renzo,6.0,17.0,12.0,0.0,7.0,0.0,7,DE
125,OKADA Tadayuki,6.0,16.0,14.0,7.0,8.0,0.0,7,AR
126,CANET Aron,6.0,10.0,8.0,7.0,10.0,0.0,7,IE
127,BEZZECCHI Marco,6.0,9.0,9.0,4.0,1.0,0.0,7,FR
128,MASETTI Umberto,6.0,9.0,6.0,0.0,1.0,2.0,6,IT
129,MANAKO Tomomi,6.0,8.0,9.0,0.0,7.0,0.0,6,ES
130,GARDNER Remy,6.0,8.0,3.0,6.0,5.0,1.0,6,
131,NAKANO Shinya,6.0,7.0,8.0,5.0,9.0,0.0,6,ES
132,LUCCHINELLI Marco,6.0,7.0,6.0,9.0,9.0,1.0,6,FR
133,GARCIA Sergio,6.0,7.0,0.0,2.0,4.0,0.0,6,IT
134,ROMBONI Doriano,6.0,6.0,10.0,7.0,4.0,0.0,6,JP
135,PHILLIS Tom,6.0,6.0,8.0,0.0,9.0,1.0,6,IT
136,AMM Ray,6.0,6.0,4.0,0.0,9.0,0.0,6,IT
137,MARINI Luca,6.0,6.0,3.0,5.0,5.0,0.0,6,ES
138,BERTIN Guy,6.0,5.0,1.0,8.0,8.0,0.0,6,IT
139,LIBERATI Libero,6.0,4.0,4.0,0.0,3.0,1.0,6,AU
140,ARENAS Albert,6.0,2.0,2.0,0.0,1.0,1.0,6,ES
141,TOERSEN Aalt,6.0,1.0,6.0,0.0,5.0,0.0,6,IT
142,ACOSTA Pedro,6.0,1.0,1.0,1.0,1.0,1.0,6,JP
143,HERWEH Manfred,6.0,0.0,6.0,3.0,3.0,0.0,6,DE
144,HARTLE John,5.0,21.0,8.0,0.0,2.0,0.0,6,AU
145,UKAWA Tohru,5.0,17.0,17.0,3.0,5.0,0.0,6,NL
146,MCINTYRE Bob,5.0,14.0,6.0,0.0,9.0,0.0,6,JP
147,KNEUBÜHLER Bruno,5.0,13.0,15.0,5.0,4.0,0.0,6,IT
148,CARDÚS Carlos,5.0,12.0,9.0,7.0,5.0,0.0,6,FR
149,KAVANAGH Ken,5.0,11.0,8.0,0.0,6.0,0.0,5,GB
150,BALDÉ Jean Francois,5.0,10.0,11.0,7.0,4.0,0.0,5,DE
151,DALLA PORTA Lorenzo,5.0,9.0,2.0,1.0,3.0,1.0,5,IT
152,DE PUNIET Randy,5.0,8.0,11.0,9.0,4.0,0.0,5,AU
153,BRADL Helmut,5.0,8.0,8.0,12.0,5.0,0.0,5,IT
154,PERUGINI Stefano,5.0,8.0,6.0,5.0,8.0,0.0,5,JP
155,FOLGER Jonas,5.0,7.0,12.0,6.0,8.0,0.0,5,GB
156,OETTL Peter,5.0,6.0,9.0,0.0,7.0,0.0,5,DE
157,AUINGER August,5.0,6.0,7.0,3.0,7.0,0.0,5,JP
158,DI MEGLIO Mike,5.0,6.0,2.0,3.0,4.0,1.0,5,AT
159,SANDFORD Cecyl,5.0,5.0,11.0,0.0,3.0,2.0,5,IT
160,NIETO Fonsi,5.0,5.0,8.0,12.0,7.0,0.0,5,GB
161,MASIA Jaume,5.0,5.0,3.0,4.0,11.0,0.0,5,GB
162,BALDASSARRI Lorenzo,5.0,5.0,2.0,2.0,5.0,0.0,5,ES
163,CORSI Simone,5.0,4.0,12.0,5.0,2.0,0.0,5,IT
164,TOKUDOME Masaki,5.0,3.0,3.0,5.0,3.0,0.0,5,NL
165,HARTOG Wil,5.0,2.0,5.0,0.0,2.0,0.0,5,JP
166,CHILI Pierfrancesco,5.0,2.0,4.0,5.0,4.0,0.0,5,FR
167,FRITH Freddie,5.0,0.0,0.0,0.0,5.0,1.0,5,CH
168,DE ANGELIS Alex,4.0,19.0,17.0,11.0,18.0,0.0,5,ES
169,ALZAMORA Emilio,4.0,13.0,13.0,1.0,5.0,1.0,5,BR
170,ROLFO Roberto,4.0,10.0,6.0,0.0,3.0,0.0,5,IT
171,JANSSON Borje,4.0,8.0,13.0,0.0,3.0,0.0,5,ES
172,DE RADIGUES Didier,4.0,8.0,3.0,12.0,3.0,0.0,5,AT
173,RITTBERGER Herbert,4.0,8.0,2.0,1.0,0.0,0.0,5,DE
174,DODDS John,4.0,6.0,11.0,3.0,4.0,0.0,5,FR
175,REDDING Scott,4.0,5.0,9.0,3.0,5.0,0.0,5,IT
176,ARBOLINO Tony,4.0,5.0,4.0,6.0,1.0,0.0,5,AU
177,PARLOTTI Gilberto,4.0,5.0,3.0,0.0,8.0,0.0,5,IT
178,KATAYAMA Yoshimi,4.0,5.0,3.0,0.0,6.0,0.0,4,DE
179,RUFFO Bruno,4.0,5.0,1.0,0.0,6.0,3.0,4,IT
180,STASTNY Franta,4.0,4.0,12.0,0.0,1.0,0.0,4,IT
181,SARRON Dominique,4.0,4.0,8.0,7.0,3.0,0.0,4,JP
182,HERRERO Santiago,4.0,4.0,3.0,0.0,3.0,0.0,4,SM
183,TAKAHASHI Kuninitsu,4.0,3.0,7.0,0.0,3.0,0.0,4,NL
184,VIETTI Celestino,4.0,3.0,5.0,2.0,4.0,0.0,4,IT
185,ANTONELLI Niccolò,4.0,3.0,4.0,9.0,4.0,0.0,4,BE
186,PAGANI Nello,4.0,2.0,5.0,0.0,4.0,1.0,4,
187,WAIBEL Gerhard,4.0,2.0,5.0,1.0,0.0,0.0,4,FR
188,SMITH Barry,4.0,2.0,4.0,0.0,2.0,0.0,4,DE
189,LODEWIJKX Paul,4.0,1.0,1.0,0.0,2.0,0.0,4,HU
190,DRAPAL Janos,4.0,0.0,1.0,0.0,2.0,0.0,4,ES
191,SMITH Bradley,3.0,10.0,12.0,9.0,5.0,0.0,4,IT
192,DI GIANNANTONIO Fabio,3.0,10.0,9.0,1.0,3.0,0.0,4,SE
193,FINDLAY Jack,3.0,9.0,13.0,1.0,1.0,0.0,4,AU
194,DUFF Mike,3.0,9.0,12.0,0.0,5.0,0.0,4,AU
195,PERRIS Frank,3.0,8.0,7.0,0.0,2.0,0.0,4,IT
196,ROTH Reinhold,3.0,8.0,4.0,2.0,3.0,0.0,4,IT
197,ROBB Tommy,3.0,7.0,18.0,0.0,2.0,0.0,4,JP
198,CORNU Jacques,3.0,7.0,11.0,3.0,3.0,0.0,4,ES
199,GRASSETTI Silvio,3.0,7.0,11.0,0.0,3.0,0.0,4,IT
200,PAGANI Alberto,3.0,7.0,9.0,0.0,0.0,0.0,4,GB
201,ROUGERIE Michel,3.0,7.0,7.0,6.0,2.0,0.0,3,JP
202,BEATTIE Daryl,3.0,7.0,4.0,0.0,1.0,0.0,3,IT
203,HAYDEN Nicky,3.0,6.0,19.0,5.0,7.0,1.0,3,FR
204,FERNANDEZ Patrick,3.0,6.0,17.0,4.0,1.0,0.0,3,GB
205,CRUTCHLOW Cal,3.0,6.0,10.0,4.0,4.0,0.0,3,BE
206,GADEA Sergio,3.0,6.0,9.0,2.0,6.0,0.0,3,IT
207,WIMMER Martin,3.0,6.0,7.0,8.0,8.0,0.0,3,ES
208,MCPHEE John,3.0,6.0,6.0,5.0,2.0,0.0,3,DE
209,KANAYA Hideo,3.0,6.0,6.0,2.0,4.0,0.0,3,NL
210,BUSCHERINI Otello,3.0,5.0,9.0,4.0,8.0,0.0,3,CH
211,HENNEN Pat,3.0,5.0,4.0,0.0,0.0,0.0,3,GB
212,ABE Norick,3.0,4.0,10.0,0.0,1.0,0.0,3,GB
213,GARRIGA Juan,3.0,4.0,6.0,2.0,11.0,0.0,3,ES
214,TIMMER Theo,3.0,4.0,5.0,0.0,0.0,0.0,3,IT
215,TAKAHASHI Yuki,3.0,4.0,4.0,0.0,0.0,0.0,3,GB
216,MILANI Alfredo,3.0,4.0,2.0,0.0,3.0,0.0,3,IT
217,GRAMIGNI Alessandro,3.0,3.0,6.0,3.0,0.0,1.0,3,IT
218,RUGGIA Jean Philippe,3.0,3.0,4.0,2.0,2.0,0.0,3,DE
219,GRANT Mike,3.0,3.0,3.0,1.0,4.0,0.0,3,IT
220,MENDOGNI Emilio,3.0,3.0,3.0,0.0,2.0,0.0,3,US
221,SANNA Simone,3.0,3.0,3.0,0.0,1.0,0.0,3,CA
222,ROSSI Graziano,3.0,2.0,2.0,1.0,0.0,0.0,3,GB
223,WILLIAMS Charlie,3.0,2.0,0.0,0.0,2.0,0.0,3,IE
224,CANN Maurice,3.0,2.0,0.0,0.0,2.0,0.0,3,GB
225,FERNANDEZ Augusto,3.0,1.0,7.0,1.0,6.0,0.0,3,FR
226,CHECA Carlos,2.0,14.0,8.0,3.0,5.0,0.0,3,AU
227,HERREROS Manuel,2.0,12.0,8.0,0.0,0.0,1.0,3,AU
228,SHEPHERD Alan,2.0,9.0,9.0,0.0,3.0,0.0,3,ES
229,NAVARRO Jorge,2.0,8.0,9.0,5.0,4.0,0.0,3,GB
230,BONERA Gianfranco,2.0,7.0,6.0,1.0,4.0,0.0,3,JP
231,GRAHAM Stuart,2.0,7.0,5.0,0.0,1.0,0.0,3,IT
232,VAZQUEZ Efren,2.0,6.0,8.0,1.0,4.0,0.0,3,CH
233,FERRARI Virginio,2.0,6.0,2.0,1.0,3.0,0.0,3,US
234,DALE Dickie,2.0,5.0,5.0,0.0,2.0,0.0,3,JP
235,BERGAMONTI Angelo,2.0,5.0,3.0,0.0,2.0,0.0,3,ES
236,NAKAGAMI Takaaki,2.0,4.0,8.0,6.0,1.0,0.0,3,FR
237,HERRON Tom,2.0,4.0,8.0,3.0,1.0,0.0,3,GB
238,PETRUCCI Danilo,2.0,4.0,4.0,0.0,2.0,0.0,3,IT
239,PALAZZESE Ivan,2.0,4.0,3.0,1.0,2.0,0.0,3,IT
240,ITOH Mitsuo,2.0,3.0,8.0,0.0,1.0,0.0,3,AU
241,MIGNO Andrea,2.0,3.0,6.0,4.0,4.0,0.0,3,IT
242,PESEK Lukas,2.0,3.0,4.0,3.0,4.0,0.0,2,ES
243,DORAN William,2.0,3.0,3.0,0.0,2.0,0.0,2,GB
244,DEBON Alex,2.0,3.0,2.0,4.0,3.0,0.0,2,ES
